State,Response,Coverage,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Component 1,Component 2,Component 3,segment,anomaly
1.0,0.0,0.0,0.0,0.5628469409187746,0.5,0.5,0.03375527426160341,0.9142857142857143,0.05050505050505051,0.0,0.0,0.0,0.0,0.132973879858744,1.0000000000000002,0.07719697389823893,-0.07582571584948763,-0.7044193183283636,0,1
0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.13924050632911394,0.37142857142857144,0.42424242424242425,0.875,0.5,0.6666666666666667,0.0,0.3910511297775745,0.0,-0.5023846023235796,0.4830668347769976,0.22750882125409427,3,1
0.5,0.0,1.0,0.0,0.4877626749082326,0.5,0.5,0.19831223628691985,0.5142857142857142,0.38383838383838387,0.125,0.5,0.0,0.0,0.19576415543051898,1.0000000000000002,0.10518362837356972,-0.058970124139247675,-0.16834436865603428,0,1
0.25,0.0,0.0,1.0,0.0,0.5,0.5,0.189873417721519,0.5142857142857142,0.6565656565656566,0.75,0.0,0.0,0.6666666666666667,0.18311668779551024,0.6000000000000001,-0.48762186991477696,0.3450005536107669,0.20905652516819404,3,1
1.0,0.0,0.0,1.0,0.4384433042278033,0.0,1.0,0.050632911392405056,0.34285714285714286,0.4444444444444445,0.0,0.5,0.0,0.0,0.047710045136619625,0.0,0.1401642543154792,-0.21488921590825052,-0.0160874911611496,1,1
0.75,1.0,0.0,0.0,0.6291395365119373,0.0,0.5,0.03375527426160341,0.39999999999999997,0.9494949494949496,0.125,0.5,0.3333333333333333,1.0,0.05505575190194406,1.0000000000000002,0.31128581366147656,-0.10546612563488796,0.19096208414130583,1,1
0.75,1.0,0.0,0.0,0.5536051849851472,0.5,0.5,0.025316455696202556,0.0,0.13131313131313133,1.0,0.0,0.0,0.0,0.11112525437239619,0.0,0.04993568560217365,0.7756799152265023,0.28203329162728774,3,1
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.16877637130801687,0.0,0.686868686868687,0.375,0.0,0.0,0.0,0.12544522174048134,0.0,-0.2561185244889431,-0.054437878320296104,0.55508651078263,2,-1
0.75,1.0,0.0,1.0,0.1407467418809574,0.5,0.0,0.042194092827004204,0.37142857142857144,0.030303030303030304,0.125,0.0,0.0,0.0,0.17665957211245467,0.0,-0.20821235064995047,-0.12383759013517077,-0.16880072570844165,4,1
0.75,0.0,0.5,0.0,0.2881747532031086,1.0,0.5,0.13502109704641352,0.4857142857142857,0.07070707070707072,0.875,1.0,0.3333333333333333,0.3333333333333333,0.14704740466454838,0.0,-0.2930454155600128,0.6276716168694257,-0.10894239589275169,3,1
0.25,0.0,0.0,1.0,0.0,0.5,1.0,0.025316455696202556,0.6571428571428571,0.05050505050505051,0.25,0.5,0.0,0.0,0.16670499220257237,0.0,-0.4438103008795941,-0.02948757714323484,-0.32990812613679243,4,1
0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.20675105485232065,0.7714285714285714,0.8787878787878789,0.25,0.5,0.3333333333333333,0.0,0.18246641039321934,0.6000000000000001,-0.4056180572830666,-0.13499170763817453,0.014239540211474354,2,1
0.25,0.0,1.0,1.0,0.7704063772116703,1.0,0.5,0.20675105485232065,0.2571428571428571,0.8282828282828284,0.25,0.0,0.3333333333333333,0.0,0.16312056124007254,0.0,0.43664983498962917,0.059380786365363286,0.23861592419554756,1,-1
0.0,1.0,0.0,1.0,0.9986397415508947,0.5,0.5,0.20675105485232065,0.6571428571428571,0.25252525252525254,0.875,0.0,0.3333333333333333,0.3333333333333333,0.18246641039321934,0.6000000000000001,0.33690363636386644,0.8284895705131022,-0.29681014153851193,3,1
0.25,0.0,0.0,1.0,0.8370490393174703,1.0,1.0,0.03797468354430383,0.6,0.10101010101010102,0.875,0.0,1.0,0.6666666666666667,0.10612692568933159,0.0,0.1891578891973854,0.7963264977911801,-0.29744952483790965,3,-1
0.75,0.0,0.0,0.0,0.24603674698192657,0.0,0.5,0.012658227848101278,0.34285714285714286,0.5050505050505051,0.125,0.0,0.3333333333333333,0.3333333333333333,0.014800961608686327,0.0,-0.06557821192478172,-0.16262530700850614,0.08206164859972306,2,1
